tradeDate,indexCode,indexNameCnAll,indexNameCn,indexNameEnAll,indexNameEn,open,high,low,close,change,changePct,tradingVol,tradingValue,consNumber,peg,date,rolling_pe,trading_value
20150101,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,5338.75,5427.23,5314.34,5417.02,94.3,1.77,12878760300.0,1393.43,500.0,32.43,2015-01-01,32.43,1393.43
20150105,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,5338.75,5427.23,5314.34,5417.02,94.3,1.77,12878760300.0,1393.43,500.0,32.43,2015-01-05,32.43,1393.43
20150106,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,5389.9,5482.12,5354.34,5479.86,62.85,1.16,12375449600.0,1403.28,500.0,32.81,2015-01-06,32.81,1403.28
20150107,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,5471.4,5492.83,5436.92,5488.24,8.38,0.15,9605049400.0,1117.87,500.0,32.88,2015-01-07,32.88,1117.87
20150108,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,5482.39,5497.74,5418.01,5444.04,-44.21,-0.81,9563461700.0,1085.21,500.0,32.63,2015-01-08,32.63,1085.21
20150109,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,5424.5,5497.69,5409.06,5409.06,-34.98,-0.64,9064080800.0,1053.9,500.0,32.47,2015-01-09,32.47,1053.9
20150112,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,5386.58,5386.58,5303.73,5332.22,-76.84,-1.42,7802643000.0,893.64,500.0,32.0,2015-01-12,32.0,893.64
20150113,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,5333.97,5407.63,5333.97,5405.09,72.87,1.37,6869376600.0,847.11,500.0,32.43,2015-01-13,32.43,847.11
20150114,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,5404.37,5417.8,5350.17,5379.74,-25.35,-0.47,6708649700.0,832.16,500.0,32.28,2015-01-14,32.28,832.16
20150115,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,5380.45,5449.26,5380.34,5449.04,69.3,1.29,6788551300.0,815.81,500.0,32.69,2015-01-15,32.69,815.81
20150116,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,5459.19,5520.79,5454.24,5520.12,71.09,1.3,8450684400.0,1046.72,500.0,33.12,2015-01-16,33.12,1046.72
20150119,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,5359.47,5475.66,5222.04,5281.9,-238.23,-4.32,10533627200.0,1219.18,500.0,31.73,2015-01-19,31.73,1219.18
20150120,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,5303.18,5472.74,5303.18,5472.51,190.62,3.61,9193795300.0,1138.37,500.0,32.9,2015-01-20,32.9,1138.37
20150121,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,5490.84,5611.98,5490.53,5611.69,139.18,2.54,11016742800.0,1377.95,500.0,33.77,2015-01-21,33.77,1377.95
20150122,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,5617.61,5690.43,5610.09,5690.16,78.46,1.4,10541262100.0,1347.78,500.0,34.23,2015-01-22,34.23,1347.78
