date,指数代码Index Code,指数中文全称Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称English Name(Full),指数英文简称Index English Name,pe,pe2,dividend_yield,dividend_yield2
2026-06-29,688,上证科创板50成份指数,科创50,SSE Science and Technology Innovation Board 50 Index,STAR 50,120.18,122.71,0.0023,0.2
2026-06-30,688,上证科创板50成份指数,科创50,SSE Science and Technology Innovation Board 50 Index,STAR 50,125.99,127.41,0.0019,0.16
2026-07-01,688,上证科创板50成份指数,科创50,SSE Science and Technology Innovation Board 50 Index,STAR 50,121.58,123.44,0.0019,0.17
2026-07-02,688,上证科创板50成份指数,科创50,SSE Science and Technology Innovation Board 50 Index,STAR 50,112.6,113.75,0.0021,0.18
2026-07-03,688,上证科创板50成份指数,科创50,SSE Science and Technology Innovation Board 50 Index,STAR 50,112.42,113.55,0.0021,0.18
2026-07-06,688,上证科创板50成份指数,科创50,SSE Science and Technology Innovation Board 50 Index,STAR 50,113.81,114.94,0.0021,0.18
2026-07-07,688,上证科创板50成份指数,科创50,SSE Science and Technology Innovation Board 50 Index,STAR 50,114.11,114.95,0.0021,0.18
2026-07-08,688,上证科创板50成份指数,科创50,SSE Science and Technology Innovation Board 50 Index,STAR 50,115.08,116.04,0.002,0.18
2026-07-09,688,上证科创板50成份指数,科创50,SSE Science and Technology Innovation Board 50 Index,STAR 50,124.28,125.97,0.0019,0.17
2026-07-10,688,上证科创板50成份指数,科创50,SSE Science and Technology Innovation Board 50 Index,STAR 50,117.56,119.17,0.002,0.18
2026-07-13,688,上证科创板50成份指数,科创50,SSE Science and Technology Innovation Board 50 Index,STAR 50,113.85,115.02,0.0021,0.18
2026-07-14,688,上证科创板50成份指数,科创50,SSE Science and Technology Innovation Board 50 Index,STAR 50,114.61,116.32,0.0021,0.18
2026-07-15,688,上证科创板50成份指数,科创50,SSE Science and Technology Innovation Board 50 Index,STAR 50,109.85,111.38,0.0021,0.19
2026-07-16,688,上证科创板50成份指数,科创50,SSE Science and Technology Innovation Board 50 Index,STAR 50,105.55,106.66,0.0022,0.2
2026-07-17,688,上证科创板50成份指数,科创50,SSE Science and Technology Innovation Board 50 Index,STAR 50,98.45,99.09,0.0024,0.21
2026-07-20,688,上证科创板50成份指数,科创50,SSE Science and Technology Innovation Board 50 Index,STAR 50,98.98,99.17,0.0024,0.21
2026-07-21,688,上证科创板50成份指数,科创50,SSE Science and Technology Innovation Board 50 Index,STAR 50,109.37,110.28,0.0022,0.19
2026-07-22,688,上证科创板50成份指数,科创50,SSE Science and Technology Innovation Board 50 Index,STAR 50,106.37,107.5,0.0022,0.19
2026-07-23,688,上证科创板50成份指数,科创50,SSE Science and Technology Innovation Board 50 Index,STAR 50,102.29,103.45,0.0023,0.2
2026-07-24,688,上证科创板50成份指数,科创50,SSE Science and Technology Innovation Board 50 Index,STAR 50,102.07,103.47,0.0023,0.2
