date,指数代码Index Code,指数中文全称Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称English Name(Full),指数英文简称Index English Name,pe,pe2,dividend_yield,dividend_yield2
2026-06-30,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.01,9.41,0.0524,5.05
2026-07-01,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.06,9.55,0.0521,4.97
2026-07-02,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.09,9.66,0.0519,4.92
2026-07-03,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.08,9.71,0.0519,4.89
2026-07-06,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.2,9.86,0.0512,4.82
2026-07-07,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.21,9.73,0.0512,4.88
2026-07-08,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.31,9.82,0.0506,4.84
2026-07-09,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.23,9.72,0.051,4.89
2026-07-10,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.27,9.74,0.0508,4.88
2026-07-13,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.39,9.83,0.0501,4.83
2026-07-14,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.41,9.91,0.0499,4.79
2026-07-15,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.51,10.07,0.049400000000000006,4.72
2026-07-16,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.44,10.05,0.049800000000000004,4.73
2026-07-17,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.51,10.02,0.049400000000000006,4.74
2026-07-20,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.76,10.25,0.048,4.63
2026-07-21,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.6,10.16,0.048799999999999996,4.68
2026-07-22,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.66,10.18,0.048499999999999995,4.67
2026-07-23,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.69,10.21,0.0483,4.65
2026-07-24,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.71,10.1,0.0482,4.7
2026-07-27,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.7,10.15,0.0483,4.68
