tradeDate,indexCode,indexNameCnAll,indexNameCn,indexNameEnAll,indexNameEn,open,high,low,close,change,changePct,tradingVol,tradingValue,consNumber,peg,date,rolling_pe,trading_value
20180101,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,,,,9781.39,101.55,1.05,4629192123.0,374.74,100.0,10.36,2018-01-01,10.36,374.74
20180102,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,,,,9781.39,101.55,1.05,4629192123.0,374.74,100.0,10.36,2018-01-02,10.36,374.74
20180103,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,,,,9835.11,53.72,0.55,3588848639.0,347.22,100.0,10.4,2018-01-03,10.4,347.22
20180104,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,,,,9851.59,16.47,0.17,3607437409.0,322.47,100.0,10.45,2018-01-04,10.45,322.47
20180105,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,,,,9891.06,39.48,0.4,3595510691.0,325.78,100.0,10.48,2018-01-05,10.48,325.78
20180108,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,,,,9929.14,38.08,0.39,4011826078.0,387.08,100.0,10.49,2018-01-08,10.49,387.08
20180109,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,,,,9905.32,-23.83,-0.24,3214284589.0,301.35,100.0,10.46,2018-01-09,10.46,301.35
20180110,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,,,,9922.56,17.24,0.17,5056221912.0,455.48,100.0,10.61,2018-01-10,10.61,455.48
20180111,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,,,,9935.62,13.07,0.13,3669956418.0,334.41,100.0,10.65,2018-01-11,10.65,334.41
20180112,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,,,,9941.22,5.6,0.06,3272716705.0,300.94,100.0,10.68,2018-01-12,10.68,300.94
20180115,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,,,,9890.53,-50.69,-0.51,5436276736.0,509.01,100.0,10.81,2018-01-15,10.81,509.01
20180116,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,,,,9995.44,104.91,1.06,5284019060.0,483.02,100.0,10.87,2018-01-16,10.87,483.02
20180117,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,,,,10047.12,51.67,0.52,7422860570.0,708.66,100.0,10.98,2018-01-17,10.98,708.66
20180118,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,,,,10128.64,81.53,0.81,6539932066.0,592.81,100.0,11.17,2018-01-18,11.17,592.81
20180119,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,,,,10178.37,49.73,0.49,7719620947.0,740.29,100.0,11.28,2018-01-19,11.28,740.29
20180122,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,,,,10220.94,42.57,0.42,6540324402.0,592.17,100.0,11.22,2018-01-22,11.22,592.17
20180123,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,,,,10317.51,96.57,0.94,8532055789.0,732.46,100.0,11.51,2018-01-23,11.51,732.46
20180124,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,,,,10392.43,74.92,0.73,8609927960.0,834.89,100.0,11.61,2018-01-24,11.61,834.89
20180125,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,,,,10357.4,-35.03,-0.34,6087805249.0,578.59,100.0,11.54,2018-01-25,11.54,578.59
20180126,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,,,,10402.68,45.29,0.44,7045298203.0,619.58,100.0,11.57,2018-01-26,11.57,619.58
20180129,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,,,,10312.4,-90.28,-0.87,6203721862.0,588.25,100.0,11.52,2018-01-29,11.52,588.25
