tradeDate,indexCode,indexNameCnAll,indexNameCn,indexNameEnAll,indexNameEn,open,high,low,close,change,changePct,tradingVol,tradingValue,consNumber,peg,date,rolling_pe,trading_value
20190429,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13498.63,-70.83,-0.52,4563687131.0,362.67,100.0,8.5,2019-04-29,8.5,362.67
20190430,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13658.99,160.36,1.19,3981974011.0,343.6,100.0,8.54,2019-04-30,8.54,343.6
20190506,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12988.89,-670.11,-4.91,6930332809.0,542.69,100.0,8.82,2019-05-06,8.82,542.69
20190507,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13090.41,101.52,0.78,4317571748.0,344.29,100.0,8.81,2019-05-07,8.81,344.29
20190508,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12944.92,-145.49,-1.11,3746294788.0,288.78,100.0,8.68,2019-05-08,8.68,288.78
20190509,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12794.89,-150.03,-1.16,3311405831.0,268.07,100.0,8.58,2019-05-09,8.58,268.07
20190510,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13142.12,347.23,2.71,4266169842.0,341.53,100.0,8.78,2019-05-10,8.78,341.53
20190513,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13057.86,-84.26,-0.64,3155753828.0,237.42,100.0,8.66,2019-05-13,8.66,237.42
20190514,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12972.5,-85.36,-0.65,3223433420.0,254.32,100.0,8.61,2019-05-14,8.61,254.32
20190515,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13178.52,206.02,1.59,3342625320.0,255.18,100.0,8.73,2019-05-15,8.73,255.18
20190516,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13275.0,96.48,0.73,3301839980.0,243.5,100.0,8.77,2019-05-16,8.77,243.5
20190517,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12961.04,-313.96,-2.37,3406002932.0,253.98,100.0,8.65,2019-05-17,8.65,253.98
20190520,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12824.22,-136.82,-1.06,3455298149.0,249.66,100.0,8.64,2019-05-20,8.64,249.66
20190521,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13002.57,178.35,1.39,2847765588.0,223.44,100.0,8.72,2019-05-21,8.72,223.44
20190522,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12947.16,-55.42,-0.43,2405182127.0,189.21,100.0,8.69,2019-05-22,8.69,189.21
20190523,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12792.1,-155.05,-1.2,2986559015.0,216.09,100.0,8.64,2019-05-23,8.64,216.09
20190524,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12798.69,6.59,0.05,2561191156.0,201.78,100.0,8.66,2019-05-24,8.66,201.78
20190527,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12968.8,170.11,1.33,3197818264.0,260.95,100.0,8.71,2019-05-27,8.71,260.95
20190528,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13036.49,67.68,0.52,3873977977.0,324.62,100.0,8.79,2019-05-28,8.79,324.62
20190529,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12999.99,-36.5,-0.28,2532274666.0,208.64,100.0,8.73,2019-05-29,8.73,208.64
20190530,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13018.99,19.0,0.15,2741997063.0,222.85,100.0,8.77,2019-05-30,8.77,222.85
20190531,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13032.52,13.54,0.1,2685137257.0,217.3,100.0,8.74,2019-05-31,8.74,217.3
