tradeDate,indexCode,indexNameCnAll,indexNameCn,indexNameEnAll,indexNameEn,open,high,low,close,change,changePct,tradingVol,tradingValue,consNumber,peg,date,rolling_pe,trading_value
20150101,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3566.09,3669.04,3551.51,3641.54,107.84,3.05,45119809800.0,5198.5,300.0,14.28,2015-01-01,14.28,5198.5
20150105,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3566.09,3669.04,3551.51,3641.54,107.84,3.05,45119809800.0,5198.5,300.0,14.28,2015-01-05,14.28,5198.5
20150106,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3608.43,3683.23,3587.23,3641.06,-0.48,-0.01,42096218500.0,4985.3,300.0,14.29,2015-01-06,14.29,4985.3
20150107,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3620.92,3671.19,3601.7,3643.79,2.73,0.08,32019123200.0,3987.32,300.0,14.37,2015-01-07,14.37,3987.32
20150108,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3650.07,3659.95,3552.1,3559.26,-84.53,-2.32,29500304500.0,3558.32,300.0,14.01,2015-01-08,14.01,3558.32
20150109,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3547.57,3689.75,3536.4,3546.72,-12.54,-0.35,34998267200.0,4302.11,300.0,13.99,2015-01-09,13.99,4302.11
20150112,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3531.52,3560.53,3461.32,3513.58,-33.15,-0.93,26656717500.0,3342.57,300.0,13.8,2015-01-12,13.8,3342.57
20150113,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3506.45,3550.16,3494.77,3514.04,0.46,0.01,18715396500.0,2507.97,300.0,13.81,2015-01-13,13.81,2507.97
20150114,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3522.91,3547.24,3471.56,3502.42,-11.62,-0.33,19601251000.0,2412.86,300.0,13.82,2015-01-14,13.82,2412.86
20150115,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3501.72,3604.12,3482.27,3604.12,101.7,2.9,23781233800.0,3034.45,300.0,14.33,2015-01-15,14.33,3034.45
20150116,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3616.25,3662.16,3601.26,3635.15,31.03,0.86,28268161400.0,3555.69,300.0,14.5,2015-01-16,14.5,3555.69
