tradeDate,indexCode,indexNameCnAll,indexNameCn,indexNameEnAll,indexNameEn,open,high,low,close,change,changePct,tradingVol,tradingValue,consNumber,peg,date,rolling_pe,trading_value
20210104,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13192.72,-99.29,-0.75,3131572567.0,270.8,50.0,6.19,2021-01-04,6.19,270.8
20210105,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13180.12,-12.6,-0.1,3003517648.0,260.12,50.0,6.15,2021-01-05,6.15,260.12
20210106,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13295.14,115.02,0.87,2579874205.0,259.45,50.0,6.21,2021-01-06,6.21,259.45
20210107,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13314.6,19.46,0.15,2837698253.0,256.11,50.0,6.23,2021-01-07,6.23,256.11
20210108,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13345.4,30.8,0.23,2714569339.0,239.2,50.0,6.26,2021-01-08,6.26,239.2
20210111,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13217.17,-128.23,-0.96,3343535331.0,292.08,50.0,6.24,2021-01-11,6.24,292.08
20210112,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13218.51,1.34,0.01,2721359067.0,224.57,50.0,6.26,2021-01-12,6.26,224.57
20210113,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13205.18,-13.33,-0.1,2927285992.0,251.88,50.0,6.3,2021-01-13,6.3,251.88
20210114,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13170.96,-34.22,-0.26,2938256881.0,249.17,50.0,6.32,2021-01-14,6.32,249.17
20210115,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13261.1,90.14,0.68,4396267064.0,356.12,50.0,6.39,2021-01-15,6.39,356.12
20210118,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13365.03,103.94,0.78,3260606329.0,299.59,50.0,6.44,2021-01-18,6.44,299.59
20210119,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13494.86,129.83,0.97,3777370811.0,331.52,50.0,6.49,2021-01-19,6.49,331.52
20210120,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13359.0,-135.86,-1.01,2563808610.0,222.49,50.0,6.41,2021-01-20,6.41,222.49
20210121,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13356.6,-2.4,-0.02,2521359890.0,226.5,50.0,6.39,2021-01-21,6.39,226.5
20210122,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13126.43,-230.17,-1.72,2537468088.0,226.32,50.0,6.29,2021-01-22,6.29,226.32
20210125,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,12977.27,-149.17,-1.14,2469570830.0,224.55,50.0,6.27,2021-01-25,6.27,224.55
20210126,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,12942.68,-34.58,-0.27,1918118505.0,174.02,50.0,6.25,2021-01-26,6.25,174.02
20210127,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,12979.06,36.38,0.28,2411819476.0,202.08,50.0,6.28,2021-01-27,6.28,202.08
20210128,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,12836.17,-142.88,-1.1,2223345089.0,189.34,50.0,6.22,2021-01-28,6.22,189.34
20210129,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,12824.63,-11.55,-0.09,2611489377.0,212.01,50.0,6.22,2021-01-29,6.22,212.01
20210201,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,12951.34,126.72,0.99,2557072031.0,204.29,50.0,6.27,2021-02-01,6.27,204.29
20210202,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,12896.88,-54.46,-0.42,2295436884.0,199.7,50.0,6.23,2021-02-02,6.23,199.7
20210203,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,12845.79,-51.1,-0.4,2345588838.0,194.1,50.0,6.23,2021-02-03,6.23,194.1
20210204,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,12813.91,-31.88,-0.25,2395548584.0,200.27,50.0,6.23,2021-02-04,6.23,200.27
20210205,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13009.78,195.87,1.53,4524101667.0,319.45,50.0,6.35,2021-02-05,6.35,319.45
20210208,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13018.63,8.85,0.07,3275325800.0,255.51,50.0,6.36,2021-02-08,6.36,255.51
20210209,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13073.9,55.27,0.42,2593501030.0,199.28,50.0,6.35,2021-02-09,6.35,199.28
20210210,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13133.02,59.12,0.45,3505175403.0,256.91,50.0,6.4,2021-02-10,6.4,256.91
20210218,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13409.61,276.59,2.11,3843156912.0,303.86,50.0,6.49,2021-02-18,6.49,303.86
20210219,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13637.19,227.58,1.7,3262666647.0,282.25,50.0,6.52,2021-02-19,6.52,282.25
20210222,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13753.49,116.3,0.85,4526596816.0,368.58,50.0,6.57,2021-02-22,6.57,368.58
20210223,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13634.69,-118.81,-0.86,3894393023.0,306.76,50.0,6.56,2021-02-23,6.56,306.76
20210224,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13613.77,-20.91,-0.15,3638659902.0,288.28,50.0,6.49,2021-02-24,6.49,288.28
20210225,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13931.69,317.92,2.34,4840389484.0,444.16,50.0,6.66,2021-02-25,6.66,444.16
20210226,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13652.3,-279.39,-2.01,4478384881.0,404.39,50.0,6.54,2021-02-26,6.54,404.39
20210301,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13857.5,205.2,1.5,3074212188.0,272.07,50.0,6.55,2021-03-01,6.55,272.07
20210302,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,13758.38,-99.11,-0.72,3221606017.0,287.85,50.0,6.52,2021-03-02,6.52,287.85
20210303,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,14072.55,314.17,2.28,4308500755.0,342.93,50.0,6.67,2021-03-03,6.67,342.93
20210304,H20269,中证红利低波动全收益指数,红利低波全收益,CSI Dividend Low Volatility Total Return Index,CSI Dividend Low VolatilityTRI,,,,14091.54,18.99,0.13,4236478478.0,330.84,50.0,6.64,2021-03-04,6.64,330.84
