date,指数代码Index Code,指数中文全称Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称English Name(Full),指数英文简称Index English Name,pe,pe2,dividend_yield,dividend_yield2
2026-06-29,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,37.02,38.56,0.0097,0.88
2026-06-30,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,37.83,39.47,0.009399999999999999,0.84
2026-07-01,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,38.16,39.75,0.009300000000000001,0.84
2026-07-02,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,37.16,38.65,0.0095,0.86
2026-07-03,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,37.16,38.63,0.0095,0.86
2026-07-06,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,36.52,37.98,0.0097,0.88
2026-07-07,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,35.75,37.18,0.009899999999999999,0.9
2026-07-08,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,34.93,36.28,0.0101,0.92
2026-07-09,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,35.66,37.08,0.009899999999999999,0.9
2026-07-10,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,35.21,36.6,0.01,0.91
2026-07-13,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,33.52,34.81,0.0105,0.96
2026-07-14,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,34.15,35.47,0.0104,0.94
2026-07-15,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,33.75,35.0,0.0105,0.95
2026-07-16,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,32.97,34.14,0.010700000000000001,0.97
2026-07-17,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,31.09,32.1,0.011399999999999999,1.04
2026-07-20,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,30.24,31.2,0.011699999999999999,1.07
2026-07-21,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,31.4,32.49,0.0113,1.02
2026-07-22,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,30.96,32.03,0.011399999999999999,1.04
2026-07-23,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,31.15,32.22,0.0113,1.03
2026-07-24,852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,30.33,31.36,0.011699999999999999,1.06
