date,指数代码Index Code,指数中文全称Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称English Name(Full),指数英文简称Index English Name,pe,pe2,dividend_yield,dividend_yield2
2026-06-29,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.02,18.23,0.0268,2.2
2026-06-30,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.09,18.42,0.0259,2.11
2026-07-01,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,15.09,18.35,0.0259,2.12
2026-07-02,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.75,17.81,0.0265,2.18
2026-07-03,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.86,17.93,0.0264,2.17
2026-07-06,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.91,17.93,0.0263,2.17
2026-07-07,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.79,17.75,0.0265,2.19
2026-07-08,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.74,17.61,0.026600000000000002,2.21
2026-07-09,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.99,18.05,0.026099999999999998,2.16
2026-07-10,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.79,17.69,0.0265,2.2
2026-07-13,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.64,17.39,0.0268,2.24
2026-07-14,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.89,17.77,0.0263,2.19
2026-07-15,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.9,17.74,0.0263,2.2
2026-07-16,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.67,17.41,0.026699999999999998,2.24
2026-07-17,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.33,16.79,0.0274,2.32
2026-07-20,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.62,17.05,0.0268,2.29
2026-07-21,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.86,17.57,0.0264,2.22
2026-07-22,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.87,17.49,0.0264,2.23
2026-07-23,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.92,17.53,0.0263,2.22
2026-07-24,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.72,17.24,0.026699999999999998,2.26
