tradeDate,indexCode,indexNameCnAll,indexNameCn,indexNameEnAll,indexNameEn,open,high,low,close,change,changePct,tradingVol,tradingValue,consNumber,peg,date,rolling_pe,trading_value
20180101,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13340.91,138.5,1.05,4629192123.0,374.74,100.0,10.36,2018-01-01,10.36,374.74
20180102,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13340.91,138.5,1.05,4629192123.0,374.74,100.0,10.36,2018-01-02,10.36,374.74
20180103,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13414.19,73.27,0.55,3588848639.0,347.22,100.0,10.4,2018-01-03,10.4,347.22
20180104,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13436.65,22.47,0.17,3607437409.0,322.47,100.0,10.45,2018-01-04,10.45,322.47
20180105,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13490.49,53.84,0.4,3595510691.0,325.78,100.0,10.48,2018-01-05,10.48,325.78
20180108,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13542.44,51.94,0.39,4011826078.0,387.08,100.0,10.49,2018-01-08,10.49,387.08
20180109,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13509.94,-32.5,-0.24,3214284589.0,301.35,100.0,10.46,2018-01-09,10.46,301.35
20180110,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13533.46,23.52,0.17,5056221912.0,455.48,100.0,10.61,2018-01-10,10.61,455.48
20180111,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13551.27,17.82,0.13,3669956418.0,334.41,100.0,10.65,2018-01-11,10.65,334.41
20180112,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13558.91,7.64,0.06,3272716705.0,300.94,100.0,10.68,2018-01-12,10.68,300.94
20180115,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13489.77,-69.14,-0.51,5436276736.0,509.01,100.0,10.81,2018-01-15,10.81,509.01
20180116,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13632.86,143.09,1.06,5284019060.0,483.02,100.0,10.87,2018-01-16,10.87,483.02
20180117,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13703.34,70.48,0.52,7422860570.0,708.66,100.0,10.98,2018-01-17,10.98,708.66
20180118,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13814.53,111.19,0.81,6539932066.0,592.81,100.0,11.17,2018-01-18,11.17,592.81
20180119,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13882.36,67.82,0.49,7719620947.0,740.29,100.0,11.28,2018-01-19,11.28,740.29
20180122,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13940.42,58.06,0.42,6540324402.0,592.17,100.0,11.22,2018-01-22,11.22,592.17
20180123,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,14072.13,131.72,0.94,8532055789.0,732.46,100.0,11.51,2018-01-23,11.51,732.46
20180124,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,14174.32,102.18,0.73,8609927960.0,834.89,100.0,11.61,2018-01-24,11.61,834.89
20180125,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,14126.53,-47.78,-0.34,6087805249.0,578.59,100.0,11.54,2018-01-25,11.54,578.59
20180126,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,14188.3,61.77,0.44,7045298203.0,619.58,100.0,11.57,2018-01-26,11.57,619.58
20180129,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,14065.16,-123.14,-0.87,6203721862.0,588.25,100.0,11.52,2018-01-29,11.52,588.25
20180130,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13975.51,-89.66,-0.64,4433580276.0,421.6,100.0,11.33,2018-01-30,11.33,421.6
20180131,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13865.91,-109.6,-0.78,4734327381.0,447.98,100.0,11.37,2018-01-31,11.37,447.98
