tradeDate,indexCode,indexNameCnAll,indexNameCn,indexNameEnAll,indexNameEn,open,high,low,close,change,changePct,tradingVol,tradingValue,consNumber,peg,date,rolling_pe,trading_value
20210104,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13580.17,17.6,0.13,5282149794.0,498.56,100.0,7.75,2021-01-04,7.75,498.56
20210105,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13502.93,-77.24,-0.57,5575943725.0,499.41,100.0,7.69,2021-01-05,7.69,499.41
20210106,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13573.79,70.86,0.52,5410572359.0,473.0,100.0,7.8,2021-01-06,7.8,473.0
20210107,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13599.36,25.57,0.19,6454421926.0,543.06,100.0,7.86,2021-01-07,7.86,543.06
20210108,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13651.58,52.22,0.38,5456852784.0,500.77,100.0,7.9,2021-01-08,7.9,500.77
20210111,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13410.73,-240.86,-1.76,6277597760.0,563.65,100.0,7.86,2021-01-11,7.86,563.65
20210112,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13546.82,136.09,1.01,5380268176.0,503.87,100.0,7.95,2021-01-12,7.95,503.87
20210113,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13653.31,106.49,0.79,7347892707.0,601.67,100.0,8.03,2021-01-13,8.03,601.67
20210114,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13699.27,45.96,0.34,7685058764.0,642.84,100.0,8.04,2021-01-14,8.04,642.84
20210115,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13730.15,30.88,0.23,8585731785.0,800.28,100.0,8.11,2021-01-15,8.11,800.28
20210118,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13780.67,50.52,0.37,6094548336.0,594.87,100.0,8.15,2021-01-18,8.15,594.87
20210119,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13802.55,21.88,0.16,6209949658.0,568.76,100.0,8.16,2021-01-19,8.16,568.76
20210120,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13768.59,-33.96,-0.25,5075227706.0,489.52,100.0,8.1,2021-01-20,8.1,489.52
20210121,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13784.77,16.18,0.12,4838671700.0,475.97,100.0,8.1,2021-01-21,8.1,475.97
20210122,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13575.09,-209.68,-1.52,4892077970.0,471.48,100.0,7.98,2021-01-22,7.98,471.48
20210125,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13454.63,-120.46,-0.89,4607337274.0,453.93,100.0,7.97,2021-01-25,7.97,453.93
20210126,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13413.62,-41.02,-0.3,3813758338.0,369.42,100.0,7.94,2021-01-26,7.94,369.42
20210127,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13454.08,40.46,0.3,4466366414.0,388.61,100.0,7.98,2021-01-27,7.98,388.61
20210128,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13290.78,-163.3,-1.21,4338843520.0,405.43,100.0,7.9,2021-01-28,7.9,405.43
20210129,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13175.01,-115.76,-0.87,4611581534.0,432.71,100.0,7.86,2021-01-29,7.86,432.71
20210201,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13247.92,72.9,0.55,4388843552.0,401.17,100.0,7.93,2021-02-01,7.93,401.17
20210202,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13174.91,-73.01,-0.55,4203257261.0,400.9,100.0,7.88,2021-02-02,7.88,400.9
