tradeDate,indexCode,indexNameCnAll,indexNameCn,indexNameEnAll,indexNameEn,open,high,low,close,change,changePct,tradingVol,tradingValue,consNumber,peg,date,rolling_pe,trading_value
20150101,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,3775.73,3876.34,3769.59,3857.54,,2.97,44708216332.0,4913.74,,,2015-01-01,,4913.74
20150105,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,3775.73,3876.34,3769.59,3857.54,,2.97,44708216332.0,4913.74,,,2015-01-05,,4913.74
20150106,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,3829.42,3907.56,3829.42,3884.41,,0.7,42959486619.0,4931.95,,,2015-01-06,,4931.95
20150107,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,3866.88,3898.59,3840.49,3881.12,,-0.08,32043518721.0,3771.67,,,2015-01-07,,3771.67
20150108,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,3886.06,3886.06,3809.79,3809.79,,-1.84,30398653491.0,3510.16,,,2015-01-08,,3510.16
20150109,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,3796.96,3917.29,3795.34,3796.3,,-0.35,34487222825.0,4106.75,,,2015-01-09,,4106.75
20150112,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,3780.43,3794.16,3721.1,3762.28,,-0.9,27035030143.0,3305.81,,,2015-01-12,,3305.81
20150113,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,3757.39,3801.67,3757.39,3780.48,,0.48,19750780222.0,2598.24,,,2015-01-13,,2598.24
20150114,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,3788.29,3798.49,3735.91,3760.04,,-0.54,20480562080.0,2474.36,,,2015-01-14,,2474.36
20150115,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,3759.36,3851.01,3752.03,3851.01,,2.42,23420731416.0,2883.55,,,2015-01-15,,2883.55
20150116,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,3864.2,3914.56,3863.38,3896.41,,1.18,28876326252.0,3563.8,,,2015-01-16,,3563.8
20150119,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,3691.37,3778.96,3598.07,3628.98,,-6.86,34881645623.0,3914.38,,,2015-01-19,,3914.38
20150120,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,3624.64,3711.63,3624.64,3706.5,,2.14,30357986623.0,3862.6,,,2015-01-20,,3862.6
20150121,000510,中证A500指数,中证A500,CSI A500 Index,CSI A500,3728.86,3850.83,3723.32,3850.83,,3.89,34754200276.0,4351.3,,,2015-01-21,,4351.3
