date,指数代码Index Code,指数中文全称Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称English Name(Full),指数英文简称Index English Name,pe,pe2,dividend_yield,dividend_yield2
2026-06-29,510,中证A500指数,中证A500,CSI A500 Index,CSI A500,17.46,22.77,0.023700000000000002,1.83
2026-06-30,510,中证A500指数,中证A500,CSI A500 Index,CSI A500,17.6,23.11,0.022799999999999997,1.74
2026-07-01,510,中证A500指数,中证A500,CSI A500 Index,CSI A500,17.56,22.97,0.0229,1.75
2026-07-02,510,中证A500指数,中证A500,CSI A500 Index,CSI A500,17.14,22.23,0.023399999999999997,1.81
2026-07-03,510,中证A500指数,中证A500,CSI A500 Index,CSI A500,17.27,22.4,0.0233,1.8
2026-07-06,510,中证A500指数,中证A500,CSI A500 Index,CSI A500,17.28,22.33,0.0233,1.8
2026-07-07,510,中证A500指数,中证A500,CSI A500 Index,CSI A500,17.11,22.06,0.0235,1.82
2026-07-08,510,中证A500指数,中证A500,CSI A500 Index,CSI A500,16.98,21.8,0.023700000000000002,1.85
2026-07-09,510,中证A500指数,中证A500,CSI A500 Index,CSI A500,17.31,22.41,0.0232,1.8
2026-07-10,510,中证A500指数,中证A500,CSI A500 Index,CSI A500,17.08,21.97,0.0235,1.83
2026-07-13,510,中证A500指数,中证A500,CSI A500 Index,CSI A500,16.8,21.43,0.024,1.88
2026-07-14,510,中证A500指数,中证A500,CSI A500 Index,CSI A500,17.12,21.94,0.0235,1.84
2026-07-15,510,中证A500指数,中证A500,CSI A500 Index,CSI A500,17.08,21.79,0.0236,1.85
2026-07-16,510,中证A500指数,中证A500,CSI A500 Index,CSI A500,16.8,21.36,0.024,1.89
2026-07-17,510,中证A500指数,中证A500,CSI A500 Index,CSI A500,16.32,20.46,0.024700000000000003,1.97
2026-07-20,510,中证A500指数,中证A500,CSI A500 Index,CSI A500,16.57,20.63,0.024300000000000002,1.96
2026-07-21,510,中证A500指数,中证A500,CSI A500 Index,CSI A500,16.94,21.43,0.023799999999999998,1.88
2026-07-22,510,中证A500指数,中证A500,CSI A500 Index,CSI A500,16.92,21.29,0.023799999999999998,1.89
2026-07-23,510,中证A500指数,中证A500,CSI A500 Index,CSI A500,16.97,21.34,0.023799999999999998,1.89
2026-07-24,510,中证A500指数,中证A500,CSI A500 Index,CSI A500,16.72,20.94,0.0241,1.93
