tradeDate,indexCode,indexNameCnAll,indexNameCn,indexNameEnAll,indexNameEn,open,high,low,close,change,changePct,tradingVol,tradingValue,consNumber,peg,date,rolling_pe,trading_value
20150101,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,6025.75,6052.44,5948.27,6049.79,22.27,0.37,9480519100.0,1012.88,1000.0,46.34,2015-01-01,46.34,1012.88
20150105,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,6025.75,6052.44,5948.27,6049.79,22.27,0.37,9480519100.0,1012.88,1000.0,46.34,2015-01-05,46.34,1012.88
20150106,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,6021.45,6172.64,5986.4,6172.39,122.61,2.03,9399203300.0,1100.59,1000.0,47.39,2015-01-06,47.39,1100.59
20150107,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,6161.48,6171.15,6118.14,6166.77,-5.62,-0.09,8062012400.0,932.45,1000.0,47.31,2015-01-07,47.31,932.45
20150108,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,6161.55,6211.46,6126.97,6164.11,-2.66,-0.04,8131564600.0,958.07,1000.0,47.33,2015-01-08,47.33,958.07
20150109,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,6148.11,6214.29,6128.01,6128.01,-36.1,-0.59,7326783900.0,907.96,1000.0,47.09,2015-01-09,47.09,907.96
20150112,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,6098.82,6102.44,6033.71,6062.28,-65.73,-1.07,6608878900.0,795.56,1000.0,46.66,2015-01-12,46.66,795.56
20150113,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,6059.38,6167.35,6058.6,6167.12,104.83,1.73,6071431300.0,803.23,1000.0,47.51,2015-01-13,47.51,803.23
20150114,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,6167.75,6170.91,6114.24,6139.29,-27.83,-0.45,5869060800.0,753.76,1000.0,47.34,2015-01-14,47.34,753.76
20150115,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,6136.56,6177.05,6136.1,6168.66,29.37,0.48,5469730500.0,700.27,1000.0,47.54,2015-01-15,47.54,700.27
20150116,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,6172.96,6252.14,6169.05,6252.08,83.42,1.35,6855902200.0,888.76,1000.0,48.24,2015-01-16,48.24,888.76
20150119,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,6133.55,6296.61,6033.88,6109.29,-142.79,-2.28,9341697600.0,1195.69,1000.0,47.24,2015-01-19,47.24,1195.69
20150120,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,6135.61,6336.71,6135.61,6336.63,227.35,3.72,8683554900.0,1174.45,1000.0,49.08,2015-01-20,49.08,1174.45
20150121,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,6358.02,6465.83,6357.68,6465.73,129.1,2.04,10380960400.0,1395.33,1000.0,50.08,2015-01-21,50.08,1395.33
20150122,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,6472.17,6569.9,6466.65,6568.64,102.9,1.59,10366393600.0,1357.52,1000.0,50.81,2015-01-22,50.81,1357.52
20150123,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,6576.98,6577.38,6481.21,6502.07,-66.57,-1.01,10447511100.0,1320.46,1000.0,50.26,2015-01-23,50.26,1320.46
20150126,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,6508.73,6642.72,6508.09,6642.61,140.55,2.16,9817861300.0,1255.63,1000.0,51.37,2015-01-26,51.37,1255.63
20150127,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,6652.21,6694.82,6582.44,6693.81,51.19,0.77,10977496600.0,1428.96,1000.0,51.77,2015-01-27,51.77,1428.96
